time,win,loss,prim_tent,prim_gale,seg_gale,white,black,red
2022-09-03 08:53:58.709950,1,0,1,0,0,0,1,0
2022-09-03 08:54:58.641100,1,0,1,0,0,0,0,1
2022-09-03 08:56:28.840999,1,0,1,0,0,0,0,1
2022-09-03 08:57:29.391964,1,0,1,0,0,0,1,0
2022-09-03 09:00:03.897310,1,0,0,1,0,0,0,1
2022-09-03 09:00:58.922316,1,0,1,0,0,0,1,0
2022-09-03 09:01:59.044807,1,0,1,0,0,0,0,1
2022-09-03 09:05:59.096083,1,0,0,0,1,0,1,0
2022-09-03 09:07:38.630616,1,0,1,0,0,0,1,0
2022-09-03 09:08:59.250040,1,0,0,1,0,0,0,1
2022-09-03 09:10:29.161638,1,0,0,1,0,0,1,0
2022-09-03 09:11:59.438894,1,0,1,0,0,0,1,0
2022-09-03 09:13:29.423226,1,0,1,0,0,0,1,0
2022-09-03 09:15:59.421057,1,0,0,0,1,0,1,0
2022-09-03 09:17:59.468215,1,0,0,0,1,0,0,1
2022-09-03 09:19:02.052968,1,0,1,0,0,0,1,0
2022-09-03 09:23:59.783586,1,0,1,0,0,1,1,0
2022-09-03 09:26:29.923438,1,0,1,0,0,0,1,0
2022-09-03 09:28:00.008950,1,0,1,0,0,0,1,0
2022-09-03 09:30:00.049829,1,0,1,0,0,0,0,1
2022-09-03 09:31:29.996084,1,0,1,0,0,1,1,0
2022-09-03 09:37:02.158190,1,0,0,1,0,0,1,0
2022-09-03 09:41:11.561820,1,0,0,0,1,0,0,1
2022-09-03 09:43:00.573822,1,0,0,0,1,0,1,0
2022-09-03 09:44:30.528232,1,0,0,1,0,0,0,1
2022-09-03 09:47:30.737498,1,0,1,0,0,0,0,1
2022-09-03 09:48:36.871926,1,0,1,0,0,0,1,0
2022-09-03 09:52:31.024693,1,0,0,1,0,0,1,0
2022-09-03 09:55:31.070439,0,1,0,0,0,0,0,0
2022-09-03 09:57:39.375710,1,0,0,0,1,1,1,0
2022-09-03 10:00:01.165178,1,0,1,0,0,0,0,1
2022-09-03 10:02:10.509288,1,0,0,1,0,0,0,1
2022-09-03 10:04:09.258425,1,0,0,1,0,1,1,0
2022-09-03 10:06:09.100897,1,0,1,0,0,0,0,1
2022-09-03 10:08:09.293534,1,0,0,0,1,0,1,0
2022-09-03 10:10:39.561400,1,0,0,1,0,0,0,1
2022-09-03 10:12:09.505238,1,0,0,1,0,1,1,0
2022-09-03 10:13:09.669119,1,0,1,0,0,0,1,0
2022-09-03 10:14:40.073303,1,0,0,1,0,0,0,1
2022-09-03 10:17:09.643563,1,0,0,1,0,0,1,0
2022-09-03 10:21:40.083302,1,0,1,0,0,0,1,0
2022-09-03 10:22:43.197084,1,0,1,0,0,0,0,1
2022-09-03 10:26:40.240707,1,0,0,1,0,0,0,1
2022-09-03 10:28:10.338256,1,0,1,0,0,0,0,1
2022-09-03 10:30:10.437124,0,1,0,0,0,0,0,0
2022-09-03 10:31:42.514708,1,0,1,0,0,0,0,1
2022-09-03 10:33:40.425064,1,0,0,1,0,0,0,1
2022-09-03 10:36:10.526564,1,0,0,1,0,0,1,0
2022-09-03 10:38:11.639724,1,0,0,1,0,0,1,0
2022-09-03 10:39:40.919953,1,0,0,1,0,0,0,1
2022-09-03 10:45:29.012837,0,1,0,0,0,0,0,0
2022-09-03 11:05:41.907728,0,1,0,0,0,0,0,0
2022-09-03 11:06:42.090584,1,0,1,0,0,1,1,0
2022-09-03 11:09:12.233020,1,0,1,0,0,0,0,1
2022-09-03 11:10:12.910649,1,0,1,0,0,0,1,0
2022-09-03 11:12:46.189973,1,0,1,0,0,0,0,1
2022-09-03 11:16:42.390970,1,0,0,0,1,0,0,1
2022-09-03 11:18:12.515977,1,0,0,1,0,1,1,0
2022-09-03 11:20:46.310771,1,0,0,1,0,0,0,1
2022-09-03 11:21:42.573521,1,0,1,0,0,0,1,0
2022-09-03 11:24:12.776371,1,0,0,1,0,0,1,0
2022-09-03 11:26:12.805545,1,0,1,0,0,0,0,1
2022-09-03 11:27:13.056496,1,0,1,0,0,0,1,0
2022-09-03 11:28:12.974595,1,0,1,0,0,0,0,1
2022-09-03 11:31:13.082392,1,0,0,1,0,0,1,0
2022-09-03 11:33:13.951190,1,0,1,0,0,0,0,1
2022-09-03 11:34:43.301326,1,0,0,1,0,0,1,0
2022-09-03 11:36:13.836308,1,0,0,1,0,0,0,1
2022-09-03 11:37:54.582827,1,0,0,1,0,0,1,0
2022-09-03 11:39:13.532237,1,0,1,0,0,0,1,0
2022-09-03 11:40:13.649116,1,0,1,0,0,0,0,1
2022-09-03 11:44:13.753002,1,0,1,0,0,0,1,0
2022-09-03 11:45:55.329782,1,0,0,1,0,0,0,1
2022-09-03 11:47:43.948462,1,0,0,0,1,1,1,0
2022-09-03 11:50:44.022615,1,0,0,0,1,0,0,1
2022-09-03 11:51:47.599139,1,0,1,0,0,0,1,0
2022-09-03 11:53:14.040615,1,0,1,0,0,0,1,0
2022-09-03 11:54:44.221153,1,0,1,0,0,0,1,0
2022-09-03 11:56:14.587390,1,0,0,1,0,0,0,1
2022-09-03 11:58:14.257605,1,0,0,0,1,0,1,0
